Title,Author,Publication_Date,ePub_link,MOBI_link,URL
Scotland's Future: Your Guide to an Independent Scotland,The Scottish Government,2013-11-26 00:00:00,http://files.scotgov.publishingthefuture.info/scotlands-future_1.epub,http://files.scotgov.publishingthefuture.info/scotlands-future.mobi,http://scotgov.publishingthefuture.info/publication/scotlands-future
Scotland's Future: Your Guide to an Independent Scotland - A Summary,The Scottish Government,2013-11-26 00:00:00,http://files.scotgov.publishingthefuture.info/scotlands-future-summary.epub,http://files.scotgov.publishingthefuture.info/scotlands-future-summary.mobi,http://scotgov.publishingthefuture.info/publication/scotlands-future-summary
Rights to Reality: A Framework of Action for Independent Living in Scotland 2013 to 2015,The Scottish Government,2013-10-29 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-rights-to-reality-a-framework-of-action-for-independent-living-in-scotland-2013-to-2015.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-rights-to-reality-a-framework-of-action-for-independent-living-in-scotland-2013-to-2015.mobi,http://scotgov.publishingthefuture.info/publication/rights-to-reality-a-framework-of-action-for-independent-living-in-scotland-2013-to-2015
Play Strategy for Scotland: Our Action Plan,The Scottish Government,2013-10-28 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-play-strategy-for-scotland-our-action-plan.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-play-strategy-for-scotland-our-action-plan.mobi,http://scotgov.publishingthefuture.info/publication/play-strategy-for-scotland-our-action-plan
Report on HMP Barlinnie Follow-up Inspection 8-12 July 2013,Her Majesty's Inspectorate of Prisons for Scotland,2013-10-17 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-report-on-hmp-barlinnie-follow-up-inspection-8-12-july-2013.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-report-on-hmp-barlinnie-follow-up-inspection-8-12-july-2013.mobi,http://scotgov.publishingthefuture.info/publication/report-on-hmp-barlinnie-follow-up-inspection-8-12-july-2013
Wellbeing - Autumn 2013,Getting it right for every child,2013-10-03 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-wellbeing-autumn-2013.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-wellbeing-autumn-2013.mobi,http://scotgov.publishingthefuture.info/publication/wellbeing-autumn-2013
Report on HMP Low Moss Full Inspection 13-21 May 2013,Her Majesty's Inspectorate of Prisons for Scotland,2013-09-26 00:00:00,http://files.scotgov.publishingthefuture.info/S0001JUST_240913_8957.epub,http://files.scotgov.publishingthefuture.info/S0001JUST_240913_8964.mobi,http://scotgov.publishingthefuture.info/publication/report-hmp-low-moss-full-inspection-13-21-may-2013
NHSScotland Resilience Preparing for Emergencies - Guidance for Health Boards in Scotland,The Scottish Government,2013-09-25 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-nhsscotland-resilience-preparing-for-emergencies-guidance-for-health-boards-in-scotland.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-nhsscotland-resilience-preparing-for-emergencies-guidance-for-health-boards-in-scotland.mobi,http://scotgov.publishingthefuture.info/publication/nhsscotland-resilience-preparing-emergencies-guidance-health-boards-scotland
Scottish Government Initiative to Facilitate an Increase in Masters-Level Learning,The Scottish Government,2013-09-24 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-scottish-government-initiative-to-facilitate-an-increase-in-masters-level-learning.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-scottish-government-initiative-to-facilitate-an-increase-in-masters-level-learning.mobi,http://scotgov.publishingthefuture.info/publication/scottish-government-initiative-facilitate-increase-masters-level-learning
Pensions in an Independent Scotland September 2013,The Scottish Government,2013-09-24 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-pensions-in-an-independent-scotland-september-2013.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-pensions-in-an-independent-scotland-september-2013.mobi,http://scotgov.publishingthefuture.info/publication/pensions-independent-scotland-september-2013
Reshaping Care for Older People - 'Getting on',The Scottish Government,2013-09-16 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-reshaping-care-for-older-people-getting-on.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-reshaping-care-for-older-people-getting-on.mobi,http://scotgov.publishingthefuture.info/publication/reshaping-care-older-people-getting
Teach in Scotland Primary & Secondary 2013/2014 [Gaelic Translation],The Scottish Government,2013-09-10 00:00:00,http://files.scotgov.publishingthefuture.info/riaghaltas-na-h-alba-teagasg-ann-an-alba-bun-sgoil-amp-ard-sgoil-20132014.epub,http://files.scotgov.publishingthefuture.info/riaghaltas-na-h-alba-teagasg-ann-an-alba-bun-sgoil-amp-ard-sgoil-20132014.mobi,http://scotgov.publishingthefuture.info/publication/teach-scotland-primary-secondary-2013-14-gaelic-translation
Teach in Scotland Primary & Secondary 2013/2014,The Scottish Government,2013-09-10 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-teach-in-scotland-primary-038-secondary-20132014.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-teach-in-scotland-primary-038-secondary-20132014.mobi,http://scotgov.publishingthefuture.info/publication/teach-scotland-primary-secondary-2013-14
Annual Report for Child Poverty for Scotland,The Scottish Government,2013-09-05 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-annual-report-for-child-poverty-for-scotland_2.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-annual-report-for-child-poverty-for-scotland_0.mobi,http://scotgov.publishingthefuture.info/publication/annual-report-for-child-poverty-for-scotland
Empowering Scotland: The Government's Programme for Scotland 2013-2014,The Scottish Government,2013-09-03 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-empowering-scotland-the-governments-programme-for-scotland-2013-2014.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-empowering-scotland-the-governments-programme-for-scotland-2013-2014.mobi,http://scotgov.publishingthefuture.info/publication/empowering-scotland-governments-programme-scotland-2013-2014
Planning Scotland's Seas – Scotland's National Marine Plan Consultation Draft,Marine Scotland,2013-09-02 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-planning-scotland-s-seas-scotland-s-national-marine-plan.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-planning-scotland-s-seas-scotland-s-national-marine-plan.mobi,http://scotgov.publishingthefuture.info/publication/planning-scotland%E2%80%99s-seas-%E2%80%93-scotlands-national-marine-plan-consultation-draft
Reshaping Care for Older People 2011-2021,The Scottish Government,2013-08-30 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-reshaping-care-for-older-people-2011--2021.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-reshaping-care-for-older-people-2011--2021.mobi,http://scotgov.publishingthefuture.info/publication/reshaping-care-older-people-2011-2021
Strategic Environmental Assessment Guidance,The Scottish Government,2013-08-30 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-strategic-environmental-assessment-guidance.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-strategic-environmental-assessment-guidance.mobi,http://scotgov.publishingthefuture.info/publication/strategic-environmental-assessment-guidance
Maximising the Return from Oil and Gas in an Independent Scotland,The Scottish Government,2013-07-23 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-maximising-the-return-from-oil-and-gas-in-an-independent-scotland-july-2013.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-maximising-the-return-from-oil-and-gas-in-an-independent-scotland-july-2013.mobi,http://scotgov.publishingthefuture.info/publication/maximising-the-return-from-oil-and-gas-in-an-independent-scotland
A Donation and Transplantation Plan for Scotland 2013 - 2020,The Scottish Government,2013-07-10 00:00:00,http://files.scotgov.publishingthefuture.info/S0001HEA_7196_090713_0.epub,http://files.scotgov.publishingthefuture.info/S0001HEA_7202_090713.mobi,http://scotgov.publishingthefuture.info/publication/donation-and-transplantation-plan-scotland-2013-2020
Creating Places A policy statement on architecture and place for Scotland,The Scottish Government,2013-06-24 00:00:00,http://files.scotgov.publishingthefuture.info/S0001ECON_6434_190613_1.epub,http://files.scotgov.publishingthefuture.info/S0001ECON_6441_190613_1.mobi,http://scotgov.publishingthefuture.info/publication/creating-places-a-policy-statement-on-architecture-and-place-for-scotland
Play Strategy for Scotland: Our Vision,The Scottish Government,2013-06-21 00:00:00,http://files.scotgov.publishingthefuture.info/S0001HEA_6779_210613.epub,http://files.scotgov.publishingthefuture.info/S0001HEA_6779_210613.mobi,http://scotgov.publishingthefuture.info/publication/play-strategy-scotland-our-vision
Statistical Publication: Poverty and Income Inequality in Scotland: 2011-12,The Scottish Government,2013-06-14 00:00:00,http://files.scotgov.publishingthefuture.info/S0001_PVT_6403_140613.epub,http://files.scotgov.publishingthefuture.info/S0001_PVT6410_140613.mobi,http://scotgov.publishingthefuture.info/publication/statistical-publication-poverty-and-income-inequality-scotland-2011-12
HM Chief Inspector of Prisons for Scotland Annual Report 2012-2013,Her Majesty's Inspectorate of Prisons for Scotland,2013-06-10 00:00:00,http://files.scotgov.publishingthefuture.info/S0001JUST_5840_040613.epub,http://files.scotgov.publishingthefuture.info/S0001JUST_5857_040613.mobi,http://scotgov.publishingthefuture.info/publication/hm-chief-inspector-prisons-scotland-annual-report-2012-2013
Report on the Full Inspection of HMP Shotts 11-19 March 2013,Her Majesty's Inspectorate of Prisons for Scotland,2013-06-05 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-report-on-the-full-inspection-of-hmp-shotts-11-19-march-2013.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-report-on-the-full-inspection-of-hmp-shotts-11-19-march-2013.mobi,http://scotgov.publishingthefuture.info/publication/report-full-inspection-hmp-shotts-11-19-march-2013
Guidance for Local Authorities - Published June 2013: Housing Support Duty to those found to be Homeless or Threatened with Homelessness - Amendment to Housing (Scotland) Act 1987 (inserted by Housing (Scotland) Act 2010),The Scottish Government,2013-06-05 00:00:00,http://files.scotgov.publishingthefuture.info/S000FIN1_6199_050613.epub,http://files.scotgov.publishingthefuture.info/S000FIN1_6182_050613.mobi,http://scotgov.publishingthefuture.info/publication/guidance-local-authorities-published-june-2013-housing-support-duty-those-found
Scotland's Digital Future: High Level Operating Framework,The Scottish Government,2013-06-05 00:00:00,http://files.scotgov.publishingthefuture.info/S0001MKT_6090_050613.epub,http://files.scotgov.publishingthefuture.info/S0001MKT_6106_050613.mobi,http://scotgov.publishingthefuture.info/publication/scotlands-digital-future-high-level-operating-framework
"A Place to Stay, A Place to Call Home A Strategy for the Private Rented Sector in Scotland",The Scottish Government,2013-05-30 00:00:00,http://files.scotgov.publishingthefuture.info/S0001HEA_5536_280513.epub,http://files.scotgov.publishingthefuture.info/S0001HEA_5543_280513.mobi,http://scotgov.publishingthefuture.info/publication/place-stay-place-call-home-strategy-private-rented-sector-scotland
Scottish Government Equality Outcomes and Mainstreaming Report,The Scottish Government,2013-05-30 00:00:00,http://files.scotgov.publishingthefuture.info/S000FIN1_5505_300513_3.epub,http://files.scotgov.publishingthefuture.info/S0001FIN_5512_300513_1.mobi,http://scotgov.publishingthefuture.info/publication/scottish-government-equality-outcomes-and-mainstreaming-report
Consultation on Draft Glasgow Commonwealth Games (Trading and Advertising) (Scotland) Regulations 2013,The Scottish Government,2013-05-28 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-consultation-on-draft-glasgow-commonwealth-games-trading-and-advertising-scotland-regulations-2013.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-consultation-on-draft-glasgow-commonwealth-games-trading-and-advertising-scotland-regulations-2013.mobi,http://scotgov.publishingthefuture.info/publication/consultation-draft-glasgow-commonwealth-games-trading-and-advertising-scotland
Getting Our Priorities Right,Getting it right for every child,2013-04-30 00:00:00,http://files.scotgov.publishingthefuture.info/S0001GOPR_4904_30042013.epub,http://files.scotgov.publishingthefuture.info/S0001GOPR_4911_30042013.mobi,http://scotgov.publishingthefuture.info/publication/getting-our-priorities-right
Building Community Resilience,Preparing Scotland,2013-04-30 00:00:00,http://files.scotgov.publishingthefuture.info/S0001JUST_4348_260413.epub,http://files.scotgov.publishingthefuture.info/S0001JUST_4355_260413.mobi,http://scotgov.publishingthefuture.info/publication/building-community-resilience
Currency Choices for an Independent Scotland: Response to the Fiscal Commission Working Group,The Scottish Government,2013-04-26 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-currency-choices-for-an-independent-scotland-response-to-the-fiscal-commission-working-group.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-currency-choices-for-an-independent-scotland-response-to-the-fiscal-commission-working-group.mobi,http://scotgov.publishingthefuture.info/publication/currency-choices-for-an-independent-scotland-response-to-the-fiscal-commission-working-group
Commission on the Delivery of Rural Education,The Scottish Government,2013-04-19 00:00:00,http://files.scotgov.publishingthefuture.info/S0001EDUC_5017_19042013.epub,http://files.scotgov.publishingthefuture.info/S0001EDUC_5024_19042013.mobi,http://scotgov.publishingthefuture.info/publication/commission-delivery-rural-education
[Draft] Statutory Guidance on care and support: A public consultation on draft statutory guidance to accompany the Social Care (Self-directed Support) (Scotland) Act 2013,The Scottish Government,2013-04-17 00:00:00,http://files.scotgov.publishingthefuture.info/SCOS0001HEA_5116_170413.epub,http://files.scotgov.publishingthefuture.info/SCOS0001HEA_5123_170413.mobi,http://scotgov.publishingthefuture.info/publication/draft-statutory-guidance-care-and-support-public-consultation-draft-statutory-guidance
Draft Self-Directed Support (Direct Payments) (Scotland) Regulations 2013 - A Public Consultation On Draft Regulations To Accompany The Social Care (Self-Directed Support) (Scotland) Act 2013,The Scottish Government,2013-04-17 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-draft-self-directed-support-direct-payments-scotland-regulations-2013-a-public-consultation-on-draft-regulations-to-accompany-the-social-care-self-directed-support-scotland-act-2013.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-draft-self-directed-support-direct-payments-scotland-regulations-2013-a-public-consultation-on-draft-regulations-to-accompany-the-social-care-self-directed-support-scotland-act-2013.mobi,http://scotgov.publishingthefuture.info/publication/draft-self-directed-support-direct-payments-scotland-regulations-2013-public
Support for Nursing and Midwifery Students in Scotland 2013/14,The Scottish Government,2013-04-08 00:00:00,http://files.scotgov.publishingthefuture.info/S0001HEA_4713_04042013.epub,http://files.scotgov.publishingthefuture.info/S0001HEA_4720_04042013.mobi,http://scotgov.publishingthefuture.info/publication/support-nursing-and-midwifery-students-scotland-201314
Parent Council Resource: A guide to gathering views and ensuring parents' voices are heard in your school,The Scottish Government,2013-03-28 00:00:00,http://files.scotgov.publishingthefuture.info/S0001EDUC_2382_270313.epub,http://files.scotgov.publishingthefuture.info/S0001EDUC_2399_270313.mobi,http://scotgov.publishingthefuture.info/publication/parent-council-resource-guide-gathering-views-and-ensuring-parents-voices-are-heard-your
Scotland's Marine Atlas,Marine Scotland,2013-03-27 00:00:00,http://files.scotgov.publishingthefuture.info/marine_atlas.epub,http://files.scotgov.publishingthefuture.info/marine_atlas.mobi,http://scotgov.publishingthefuture.info/publication/marine-atlas
Wellbeing - Spring 2013,Getting it right for every child,2013-03-22 00:00:00,http://files.scotgov.publishingthefuture.info/wellbeing-update-spring-2013.epub,http://files.scotgov.publishingthefuture.info/wellbeing-update-spring-2013.mobi,http://scotgov.publishingthefuture.info/publication/wellbeing-spring-2013
Low Carbon Scotland: A Behaviours Framework,Natural Scotland,2013-03-04 00:00:00,http://files.scotgov.publishingthefuture.info/S0001ENV_4218_040313.epub,http://files.scotgov.publishingthefuture.info/S0001ENV_4201_040313.mobi,http://scotgov.publishingthefuture.info/publication/low-carbon-scotland-behaviours-framework
A Healthier Scotland: Consultation on Creating a New Food Body,The Scottish Government,2013-02-28 00:00:00,http://files.scotgov.publishingthefuture.info/S0001HEA_4140_280213_0.epub,http://files.scotgov.publishingthefuture.info/S0001HEA_4157_280213.mobi,http://scotgov.publishingthefuture.info/publication/healthier-scotland-consultation-creating-new-food-body
Report on the Full Inspection of HMYOI Polmont 22-30 October 2012,Her Majesty's Inspectorate of Prisons for Scotland,2013-02-20 00:00:00,http://files.scotgov.publishingthefuture.info/S0001JUST_3747_140213.epub,http://files.scotgov.publishingthefuture.info/S0001JUST_3754_140213.mobi,http://scotgov.publishingthefuture.info/publication/report-full-inspection-hmyoi-polmont-22-30-october-2012
"Scotland's Digital Future: Delivery of Public Services, Central Government Strategy",The Scottish Government,2013-02-12 00:00:00,http://files.scotgov.publishingthefuture.info/S0001PERM_3761_11022013.epub,http://files.scotgov.publishingthefuture.info/S0001PERM_3778_11022013.mobi,http://scotgov.publishingthefuture.info/publication/scotlands-digital-future-delivery-public-services-central-government-strategy
Scotland's Future: from the Referendum to Independence and a Written Constitution,The Scottish Government,2013-02-05 00:00:00,http://files.scotgov.publishingthefuture.info/S0001PERM_3822_050213.epub,http://files.scotgov.publishingthefuture.info/S0001PERM_3839_050213.mobi,http://scotgov.publishingthefuture.info/publication/scotlands-future-referendum-independence-and-written-constitution
Preparing Scotland: Scientific and Technical Advice Cell (STAC) Guidance,Preparing Scotland,2013-02-04 00:00:00,http://files.scotgov.publishingthefuture.info/S0001JUST_3266_070213.epub,http://files.scotgov.publishingthefuture.info/S0001JUST_3259_070213.mobi,http://scotgov.publishingthefuture.info/publication/preparing-scotland-scientific-and-technical-advice-cell-stac-guidance
"An Evaluation of the Commonwealth Games 2014 Legacy for Scotland: Report 1: Questions, Methods and Baseline",The Scottish Government,2013-01-17 00:00:00,http://files.scotgov.publishingthefuture.info/S0001HEA_1927_061112.epub,http://files.scotgov.publishingthefuture.info/S0001HEA_1934_061112.mobi,http://scotgov.publishingthefuture.info/publication/evaluation-commonwealth-games-2014-legacy-scotland-report-1-questions-methods-and
Warning and Informing Scotland: Using Social Media in Emergencies,The Scottish Government,2013-01-09 00:00:00,http://files.scotgov.publishingthefuture.info/S0001JUST_2610_080113_1.epub,http://files.scotgov.publishingthefuture.info/S0001JUST_2627_080113_0.mobi,http://scotgov.publishingthefuture.info/publication/warning-and-informing-scotland-using-social-media-in-emergencies
A Consultation on the proposal to establish a National Confidential Forum - Analysis of Consultation Responses,The Scottish Government,2013-01-03 00:00:00,http://files.scotgov.publishingthefuture.info/S0001HEA_3341_080113.epub,http://files.scotgov.publishingthefuture.info/S0001HEA_3334_080113.mobi,http://scotgov.publishingthefuture.info/publication/consultation-proposal-establish-national-confidential-forum-analysis-consultation
Getting Our Priorities right - Consultation Analysis,The Scottish Government,2012-12-17 00:00:00,http://files.scotgov.publishingthefuture.info/S0001HEA_2887_171212.epub,http://files.scotgov.publishingthefuture.info/S0001HEA_3167_171212.mobi,http://scotgov.publishingthefuture.info/publication/getting-our-priorities-right-consultation-analysis
A Consultation on Tax Management,The Scottish Government,2012-12-10 00:00:00,http://files.scotgov.publishingthefuture.info/S0001FIN_2740_121212.epub,http://files.scotgov.publishingthefuture.info/S0001FIN_2751_121212.mobi,http://scotgov.publishingthefuture.info/publication/consultation-tax-management
National Risk Framework to Support the Assessment of Children and Young People,Getting it right for every child,2012-11-20 00:00:00,http://files.scotgov.publishingthefuture.info/S0001HEA_2092_261112_3.epub,http://files.scotgov.publishingthefuture.info/S0001HEA_2085_261112_2.mobi,http://scotgov.publishingthefuture.info/publication/national-risk-framework-to-support-the-assessment-of-children-and-young-people
"Mental Health Strategy for Scotland: 2012-2015 (published with corrections, November 2012)",The Scottish Government,2012-11-19 00:00:00,http://files.scotgov.publishingthefuture.info/S0001HEA_1811_191112.epub,http://files.scotgov.publishingthefuture.info/S0001HEA_1828_191112.mobi,http://scotgov.publishingthefuture.info/publication/mental-health-strategy-scotland-2012-2015-published-corrections-november-2012
Teaching Scotland's Future - National Partnership Group - Report to the Cabinet Secretary for Education and Lifelong Learning - September 2012,The Scottish Government,2012-11-06 00:00:00,http://files.scotgov.publishingthefuture.info/S0001EDUC_1736_071112.epub,http://files.scotgov.publishingthefuture.info/S0001EDUC_1743_071112.mobi,http://scotgov.publishingthefuture.info/publication/teaching-scotlands-future-national-partnership-group-report-cabinet-secretary-education
"'Your Scotland, Your Referendum': An Analysis of Consultation Responses",The Scottish Government,2012-10-23 00:00:00,http://files.scotgov.publishingthefuture.info/refana_2023_251012.epub,http://files.scotgov.publishingthefuture.info/refana_2030_251012.mobi,http://scotgov.publishingthefuture.info/publication/your-scotland-your-referendum-analysis-consultation-responses
Exploring the scale and nature of child sexual exploitation in Scotland,The Scottish Government,2012-10-17 00:00:00,http://files.scotgov.publishingthefuture.info/S0001HEA_1446_171012_2.epub,http://files.scotgov.publishingthefuture.info/S0001HEA_1453_171012_0.mobi,http://scotgov.publishingthefuture.info/publication/exploring-the-scale-and-nature-of-child-sexual-exploitation-in-scotland
A strategy and action plan for embedding knowledge in practice in Scotland's social services,The Scottish Government,2012-10-16 00:00:00,http://files.scotgov.publishingthefuture.info/S0001HEA_1613_171012.epub,http://files.scotgov.publishingthefuture.info/S0001HEA_1620_171012.mobi,http://scotgov.publishingthefuture.info/publication/strategy-and-action-plan-embedding-knowledge-practice-scotlands-social-services
Scotland's Digital Future - First Annual Progress Report and Update - 2012,The Scottish Government,2012-10-08 00:00:00,http://files.scotgov.publishingthefuture.info/S0001MKT_1279_111012_0.epub,http://files.scotgov.publishingthefuture.info/S0001MKT_1255_101012.mobi,http://scotgov.publishingthefuture.info/publication/scotlands-digital-future-first-annual-progress-report-and-update-2012
The Common-Sense Approach to Moving and Handling of Disabled Children and Young People,Capability Scotland,2012-09-26 00:00:00,http://files.scotgov.publishingthefuture.info/S0001EDUC_9721_011012.epub,,http://scotgov.publishingthefuture.info/publication/common-sense-approach-moving-and-handling-disabled-children-and-young-people
HM Chief Inspector of Prisons for Scotland Annual Report 2011-12,The Scottish Government,2012-09-25 00:00:00,http://files.scotgov.publishingthefuture.info/S0001JUST_1101_260912.epub,http://files.scotgov.publishingthefuture.info/S0001JUST_1118_260912.mobi,http://scotgov.publishingthefuture.info/publication/hm-chief-inspector-prisons-scotland-annual-report-2011-12
Scotland's Digital Future - Delivery of Public Services,The Scottish Government,2012-09-18 00:00:00,http://files.scotgov.publishingthefuture.info/S0001MKT_1033_180912.epub,http://files.scotgov.publishingthefuture.info/S0001MKT_0814_180912.mobi,http://scotgov.publishingthefuture.info/publication/scotlands-digital-future-delivery-public-services
School Handbook Guidance,The Scottish Government,2012-09-13 00:00:00,http://files.scotgov.publishingthefuture.info/S0001EDUC_0388_120912.epub,http://files.scotgov.publishingthefuture.info/S0001EDUC_0395_120912.mobi,http://scotgov.publishingthefuture.info/publication/school-handbook-guidance
"Summary Report on the follow-up inspection of HMP Addiewell, 12-16 June 2012",Her Majesty's Inspectorate of Prisons for Scotland,2012-09-12 00:00:00,http://files.scotgov.publishingthefuture.info/S0001JUST_0753_120912.epub,http://files.scotgov.publishingthefuture.info/S0001JUST_0760_120912.mobi,http://scotgov.publishingthefuture.info/publication/summary-report-follow-inspection-hmp-addiewell-12-16-june-2012
"Report on HMP Addiewell Follow-Up Inspection, 12-16 June 2012",Her Majesty's Inspectorate of Prisons for Scotland,2012-09-12 00:00:00,http://files.scotgov.publishingthefuture.info/S0001JUST_0777_12092012.epub,http://files.scotgov.publishingthefuture.info/S0001JUST_0784_12092012.mobi,http://scotgov.publishingthefuture.info/publication/report-hmp-addiewell-follow-inspection-12-16-june-2012
Working for Scotland: The Government's Programme for Scotland 2012-2013,The Scottish Government,2012-09-05 00:00:00,http://files.scotgov.publishingthefuture.info/S0001PERM_0692_05092012.epub,http://files.scotgov.publishingthefuture.info/S0001PERM_0685_05092012.mobi,http://scotgov.publishingthefuture.info/publication/working-scotland-governments-programme-scotland-2012-2013
"Report on the Full Inspection of HMP Open Estate, 23-29 April 2012",Her Majesty's Inspectorate of Prisons for Scotland,2012-09-05 00:00:00,http://files.scotgov.publishingthefuture.info/S0001JUST_0722_070912.epub,http://files.scotgov.publishingthefuture.info/S0001JUST_0739_070912_0.mobi,http://scotgov.publishingthefuture.info/publication/report-full-inspection-hmp-open-estate-23-29-april-2012
Summary Report on the Full Inspection of HMP Open Estate (23-29 April 2012),Her Majesty's Inspectorate of Prisons for Scotland,2012-09-05 00:00:00,http://files.scotgov.publishingthefuture.info/S0001JUST_0708_070912.epub,http://files.scotgov.publishingthefuture.info/S0001JUST_0715_070912.mobi,http://scotgov.publishingthefuture.info/publication/summary-report-full-inspection-hmp-open-estate-23-29-april-2012
Scottish Inpatient Patient Experience Survey 2012 Volume 1: National results,The Scottish Government,2012-08-28 00:00:00,http://files.scotgov.publishingthefuture.info/S0001HEA_0173_29082012.epub,http://files.scotgov.publishingthefuture.info/S0001HEA_0180_29082012.mobi,http://scotgov.publishingthefuture.info/publication/scottish-inpatient-patient-experience-survey-2012-volume-1-national-results
Mental Health Strategy for Scotland: 2012-2015,The Scottish Government,2012-08-13 00:00:00,http://files.scotgov.publishingthefuture.info/SCOS0001FIN_9967_140812.epub,http://files.scotgov.publishingthefuture.info/SCOS0001FIN_9974_140812_0.mobi,http://scotgov.publishingthefuture.info/publication/mental-health-strategy-scotland-2012-2015
Procurement Reform Bill - Consultation,The Scottish Government,2012-08-10 00:00:00,http://files.scotgov.publishingthefuture.info/S0001HEA_9929_14082012.epub,http://files.scotgov.publishingthefuture.info/S0001HEA_9936_14082012.mobi,http://scotgov.publishingthefuture.info/publication/procurement-reform-bill-consultation
Scotland's Population 2011: The Registrar General's Annual Review of Demographic Trends 157th Edition,GROS (General Register Office for Scotland),2012-08-02 00:00:00,http://files.scotgov.publishingthefuture.info/SCOG0001_1839_020812.epub,,http://scotgov.publishingthefuture.info/publication/scotlands-population-2011-registrar-generals-annual-review-of-demographic-trends-157th-edition
National Confidential Forum - A consultation on the creation of a Forum for Adult Survivors of Childhood Abuse in Residential Care,The Scottish Government,2012-07-20 00:00:00,http://files.scotgov.publishingthefuture.info/SCOS001HEA_9578_200712_epub_0.epub,http://files.scotgov.publishingthefuture.info/SCOS001HEA_9585_200712.mobi,http://scotgov.publishingthefuture.info/publication/national-confidential-forum-consultation-creation-forum-adult-survivors-childhood-abuse
A Review of Child Neglect in Scotland,The Scottish Government,2012-07-17 00:00:00,http://files.scotgov.publishingthefuture.info/S0001HEA_9493_170712.epub,http://files.scotgov.publishingthefuture.info/S0001HEA_9509_170712.mobi,http://scotgov.publishingthefuture.info/publication/review-child-neglect-scotland
A Scotland for Children: A Consultation on the Children and Young People Bill,The Scottish Government,2012-07-05 00:00:00,http://files.scotgov.publishingthefuture.info/S0001EDUC_9349_040712_0.epub,http://files.scotgov.publishingthefuture.info/S0001EDUC_9356_040712_1.mobi,http://scotgov.publishingthefuture.info/publication/scotland-children-consultation-children-and-young-people-bill
Getting our priorities right (GOPR),The Scottish Government,2012-07-03 00:00:00,http://files.scotgov.publishingthefuture.info/SCOS0001EDUC_9219_030712.epub,http://files.scotgov.publishingthefuture.info/SCOS0001EDUC_9219_030712.mobi,http://scotgov.publishingthefuture.info/publication/getting-our-priorities-right-gopr
Speaking Up - Report of the Conversations Project,Getting it right for every child,2012-07-02 00:00:00,http://files.scotgov.publishingthefuture.info/SCOS0001EDUC_9103_020712_1.epub,,http://scotgov.publishingthefuture.info/publication/speaking-up-report-of-the-conversations-project
A Future CAP for Scotland,The Scottish Government,2012-06-21 00:00:00,http://files.scotgov.publishingthefuture.info/S0001ENV_8915_150612.epub,,http://scotgov.publishingthefuture.info/publication/future-cap-scotland
"Common Core of Skills, Knowledge & Understanding and Values for the ""Children's Workforce"" in Scotland",The Scottish Government,2012-06-18 00:00:00,http://files.scotgov.publishingthefuture.info/S0001JUST_8700_150612.epub,http://files.scotgov.publishingthefuture.info/S0001JUST_8712_150612.mobi,http://scotgov.publishingthefuture.info/publication/common-core-skills-knowledge-understanding-and-values-childrens-workforce-scotland
